Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
InfoMaven 1,Pensions,Major,InfoMaven,,150,,0,100,0,0
InfoMaven 2,Pensions,Major,InfoMaven,,150,b,,100,,0.38
Level 1,Pensions,Major,Occupy Social Media,,20,b,,20,,0.893
Level 2,Pensions,Major,Occupy Social Media,,200,b,,150,,0.083
Midterm,Other Spending,Major,Participation,,50,g,0,30,7.1,7.8
Final,Other Spending,Major,Participation,,50,g,41.2,30,0,41.2
Battle 1,Interest,Major,Battles (Quizzes),,80,b,,50,,283.936
Battle 2,Interest,Major,Battles (Quizzes),,80,b,,50,,172.946
Battle 3,Interest,Major,Battles (Quizzes),,80,b,,50,,4.043
SyllaboQuest,Interest,Minor,Intro (Required),,25,b,,10,,11.115
IntroQuest,Interest,Minor,Intro (Required),,25,b,,25,,2.561
SyllaboQuest,Interest,Minor,Intro (Required),,25,b,,15,,10.042
IntroQuest,Interest,Minor,Intro (Required),,25,b,,15,,0.431
Biblio Quest,Interest,Minor,Writing Assignments,,30,b,,80,,17.152
ExploroQuest,Interest,Minor,Writing Assignments,,30,b,,80,,0.226
RandoQuest,Interest,Minor,RandoQuests,,10,b,,30,,0.317
RandoQuest,Interest,Minor,RandoQuests,,10,b,,30,,0.329
RandoQuest,Interest,Minor,RandoQuests,,10,b,,30,,31.838
RandoQuest,Interest,Minor,RandoQuests,,10,b,,30,,0.111
RandoQuest,Interest,Minor,RandoQuests,,10,b,,30,,0.11
RandoQuest,Interest,Minor,RandoQuests,,10,b,,30,,0.074
